web-scraper-order,web-scraper-start-url,category,category-href,product,product-href,product_name,product_description,product_price,product_color,product_image-src,sub_category
1720555390-16,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Classic Clog BlackLowest AskCA$72,https://stockx.com/crocs-classic-clog-black,Crocs Classic Clog Black,"Since its debut, Crocs Classic Clog Black has become popular unisex footwear in the Crocs series. 




The Classic Clog is produced from croslite material covered in style code 10001BLK. This item is covered with a black colorway, with enough perforations at the Crocs' upper and sides of the toes that help in the breathability as well as the drainage of excess water or sand from the inside of the Croc. The design features an extended heel strap for comfortability while in movement. 




Crocs Classic Clog Black was initially released on July 15, 2022, at a retail price of $50.",72,Black,https://images.stockx.com/360/Crocs-Classic-Clog-Black/Images/Crocs-Classic-Clog-Black/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1655476606&h=384&q=60,Crocs
1720555392-17,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Gucci Slide Black Rubber (Women's)Lowest AskCA$339,https://stockx.com/gucci-slide-black-rubber-w,Gucci Slide Black Rubber,NA,339,NA,https://images.stockx.com/360/Gucci-Slide-Black-Rubber-W/Images/Gucci-Slide-Black-Rubber-W/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1635185890&h=384&q=60,Gucci
1720555394-18,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Gucci GG Supreme Platform Sandal Dark Red (Women's)Lowest AskCA$418,https://stockx.com/gucci-gg-supreme-platform-sandal-dark-red-womens,Gucci GG Supreme Platform Sandal Dark Red,"The Gucci GG Supreme Platform Sandal Dark Red (Women's) is a premium slip-on sandal that displays the Gucci GG monogram and sits on a thick platform.




The sandal features a wedge platform, which adds height, and is wrapped in a canvas-like material with the Gucci GG monogram. This print includes two interlocking GGs, which represent the initials of Gucci’s founder, Guccio Gucci. Although the brown monogram pattern is the most common, this version comes in Dark Red. The contoured footbed is crafted from a soft material that doesn’t stick to the bottom of the foot and comes entirely in complementary Dark Red. The Gucci GG monogram print also decorates the canvas material that adorns the leather midfoot strap.




Our StockX experts like the saw-tooth traction pattern on the rubber outsole because it provides extra grip. The women’s-size Gucci GG Supreme Platform Sandal Dark Red (Women's) was released on July 1, 2023, and retailed at $535.",418,Dark Red,https://images.stockx.com/360/Gucci-GG-Supreme-Platform-Sandal-Dark-Red-Womens/Images/Gucci-GG-Supreme-Platform-Sandal-Dark-Red-Womens/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1706297099&h=384&q=60,Gucci
1720555397-19,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Gucci Web Slide Black Rubber (Women's)Lowest AskCA$234,https://stockx.com/gucci-web-slide-black-rubber-w,Gucci Web Slide Black Rubber,"The Gucci Web Slide Black Rubber (Women's) is a luxury slip-on sandal with a strap featuring Gucci’s signature house colors – red and green.




Two straps reach from the heel to the forefoot, crisscrossing over the top of the foot. Each strap is made of flexible plastic and features three lines. The middle line is large and comes in red, while a green line can be found on either side. The placement of the straps creates a secure fit and prevents the heel from popping all the way out of the sandal. The slide boasts a black outsole made of durable plastic with light tread underfoot. The footbed is also black and conforms to the foot's natural arches.




Our StockX experts like that ‘Gucci’ is embossed into the footbed, but there are no branding details on the straps. The women’s size Gucci Web Slide Black Rubber (Women's) was released on August 31st, 2022, and retailed at $450.",234,Green/Red/Black,https://images.stockx.com/360/Gucci-Web-Slide-Black-Rubber-W/Images/Gucci-Web-Slide-Black-Rubber-W/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1690212439&h=384&q=60,Gucci
1720555399-20,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Pollex Clog by Salehe Bembury ComoLowest AskCA$115,https://stockx.com/crocs-pollex-clog-by-salehe-bembury-como,Crocs Pollex Clogby Salehe Bembury Como,"The Crocs Pollex Clog by Salehe Bembury Como is a collaboration between Crocs and Salehe Bembury, an LA-based footwear designer known for his contemporary, eclectic aesthetic and use of luxury materials.




Salehe Bembury updates the recognizable Crocs silhouette and durable resin upper with a mold featuring dramatic, rippling ridges. While the ridges resemble fingerprints or a topographical map, they also serve a function. The concave ripples on the bottom of the shoe increase traction, while the holes on the upper allow the foot to breathe. The shoe boasts an adjustable nylon strap that fits above the heel and can also be removed. Unlike other Crocs, this model does not come with Jibbitz holes on the vamp.




Something our experts love is the closed heel. This is the first Croc produced with a closed heel. Crocs Pollex Clog by Salehe Bembury Como was released on August 17, 2023, and retailed at $85.",115,Como,https://images.stockx.com/360/Crocs-Pollex-Clog-by-Salehe-Bembury-Como/Images/Crocs-Pollex-Clog-by-Salehe-Bembury-Como/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1702672156&h=384&q=60,Crocs
1720555401-21,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Classic Cowboy Boot BlackLowest AskCA$106,https://stockx.com/crocs-classic-cowboy-boot-black,Crocs Classic Cowboy Boot Black,"The Crocs Classic Cowboy Boot Black is a reimagining of the cowboy boot using signature Crocs elements as a base.




Although this silhouette looks like a classic cowboy boot, the crocodile-embossed upper is made of resin with Jibbitz holes along the vamp. These holes provide ventilation and allow the wearer to attach charms to the shoe. Two charms come with the boot, including one that looks like a gold sheriff’s badge. The boot shaft features decorative embroidered designs while the heel strap displays shapes that resemble spurs. The boot features ‘crocs’ written near the top of the boot shaft with stars above and below.




Our experts at StockX love the way the shoe maintains the classic Crocs round-toe shape. It sets the shoe apart from other boots with a pointed toe. The Crocs Classic Cowboy Boot Black was released on October 23, 2023, and retailed at $120",106,Black,https://images.stockx.com/360/Crocs-Classic-Cowboy-Boot-Black/Images/Crocs-Classic-Cowboy-Boot-Black/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1698657807&h=384&q=60,Crocs
1720555404-22,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Pollex Slide by Salehe Bembury HuckleLowest AskCA$55,https://stockx.com/crocs-pollex-slide-by-salehe-bembury-huckle,Crocs Pollex Slideby Salehe Bembury Huckle,NA,55,NA,https://images.stockx.com/360/Crocs-Pollex-Slide-by-Salehe-Bembury-Huckle/Images/Crocs-Pollex-Slide-by-Salehe-Bembury-Huckle/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1718979560&h=384&q=60,Crocs
1720555406-23,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Birkenstock Boston Soft Footbed Suede BlackLowest AskCA$161,https://stockx.com/birkenstock-boston-soft-footbed-suede-black,Birkenstock Boston Soft Footbed,"The Birkenstock Boston Soft Footbed Suede Black is a version of the recognizable Birkenstock Boston clog model that comes with an upper and footbed lining made of soft suede.




One element that makes this shoe stand out is the inclusion of an additional foam layer in the footbed. This provides additional comfort and reduces the impact caused by walking. The clog comes with an adjustable suede strap, which can be loosened or tightened with a metal buckle. Although the branding elements are minimal, ‘BIRKENSTOCK’ is embossed on the lateral side, and ‘BIRKENSTOCK’ can also be found on the metal buckle. The clog boasts an EVA sole that is both flexible and durable.




Our experts at StockX love the contrast between the black sole, the black upper, and the tan-toned footbed. The Birkenstock Boston Soft Footbed Suede Black was released on June 30, 2023, and retailed at $155.",161,Black,https://images.stockx.com/360/Birkenstock-Boston-Soft-Footbed-Suede-Black/Images/Birkenstock-Boston-Soft-Footbed-Suede-Black/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1669191715&h=384&q=60,Birkenstock
1720555408-24,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Pollex Clog by Salehe Bembury SasquatchLowest AskCA$206,https://stockx.com/crocs-pollex-clog-by-salehe-bembury-sasquatch,Crocs Pollex Clogby Salehe Bembury Sasquatch,"Since its release, Crocs Pollex Clog by Salehe Bembury Sasquatch remains of the highest-selling variants in the Crocs catalog. 




The construction of Pollex Clog mainly utilizes croslite material. These Crocs come in an attractive sasquatch black colorway and feature a heel attached to the optional sport mode for great fitting. The upper part is perforated to enhance its breathability and allow the shedding of water and other particles, such as debris, from inside the Crocs. 




The Crocs Pollex Clog by Salehe Bembury Sasquatch was released on September 22, 2022. At the time of the release, its retail price was $85.",206,Sasquatch/Black,https://images.stockx.com/360/Crocs-Pollex-Clog-by-Salehe-Bembury-Sasquatch/Images/Crocs-Pollex-Clog-by-Salehe-Bembury-Sasquatch/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1656656733&h=384&q=60,Crocs
1720555411-25,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Pollex Clog by Salehe Bembury HorchataLowest AskCA$133,https://stockx.com/crocs-pollex-clog-by-salehe-bembury-horchata,Crocs Pollex Clogby Salehe Bembury Horchata,"When it comes to redefining comfort with style, the Crocs Pollex Clog by Salehe Bembury did just that, dropping the Horchata colorway on June 15, 2023. Fusing contemporary fashion with relaxed footwear.




The Horchata colorway reflects an earthy vibe, drenched in a calming shade that screams understated cool. The distinctive silhouette of the clog meets an innovative, grippy outsole, marrying function with fashion. Bembury's signature design elements elevate the aesthetic, proving that comfort doesn't mean compromising on style.




The Crocs Pollex Clog by Salehe Bembury in Horchata released on June 15, 2023, for a retail price of $85, ensuring that trendsetters could kick back in style without breaking the bank.",133,Horchata,https://images.stockx.com/360/Crocs-Pollex-Clog-by-Salehe-Bembury-Horchata/Images/Crocs-Pollex-Clog-by-Salehe-Bembury-Horchata/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1689951488&h=384&q=60,Crocs
1720555413-26,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Gucci Slide Pink Rubber (Women's)Lowest AskCA$336,https://stockx.com/gucci-slide-pink-rubber-w,Gucci Slide Pink Rubber (Women's),"The Gucci Slide Pink Rubber (Women's) is an Italian-made slide that boasts an all-Pink colorway and iconic Gucci branding.




Crafted from premium rubber, the slide features a molded footbed that supports the foot’s natural arch. The shoe's height is 15 mm, and there is no heel. The footbed has a tumbled leather pattern and ""GUCCI"" embossed along both sides. Inspired by the original Gucci rhombi design from the 1930s, the GG motif creates cutouts and decorates the rubber strap. The double-G motifs and embossed dots form a repeating grid-like pattern that completes the retro-inspired look. Unlike other Gucci slides, the Pink Rubber variation does not come with texturized tread underfoot.




Our experts like the women's size shoe’s slip-on design, which makes it easy to put on or take off. The Gucci Slide Pink Rubber (Women's) was released on June 1st, 2021, and retailed for a price of $290.",336,Pink,https://images.stockx.com/360/Gucci-Slide-Pink-Rubber-W/Images/Gucci-Slide-Pink-Rubber-W/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1635347222&h=384&q=60,Gucci
1720555419-27,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Gucci Slide GG Supreme TigersLowest AskCA$307,https://stockx.com/gucci-slide-gg-supreme-tigers,Gucci Slide GG Supreme Tigers,"The Gucci Slide GG Supreme Tigers is a flat slip-on sandal from Gucci, the Italian luxury fashion brand.




Starting with the black outsole of this Gucci Slide, you’ll notice GUCCI branding on the back lateral heel base. The outsole is thick and elevates the heel slightly. The wide upper strap leaves the toes open and is adorned with subtle GG Supreme logos. These iconic symbols pay homage to the brand’s founder, Guccio Gucci. This flat silhouette goes on to feature two tigers on the upper strap, giving it a dynamic element. These slides are great for casual outings, lounging by the pool, running quick errands, and keeping your feet cool and comfortable.




Our experts feel the standout feature in this shoe is its over aesthetic that is synonymous with the Gucci brand, sleek and never out of style. The Gucci Slide GG Supreme Tigers was released on June 1, 2019, and retailed for $320.",307,Black,https://images.stockx.com/360/Gucci-Slide-GG-Supreme-Tigers/Images/Gucci-Slide-GG-Supreme-Tigers/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1635340375&h=384&q=60,Gucci
1720555422-28,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Classic Clog DreamWorks ShrekLowest AskCA$125,https://stockx.com/crocs-classic-clog-dreamworks-shrek,Crocs Classic Clog DreamWorks Shrek,"The Crocs Classic Clog took an adventurous turn with the DreamWorks Shrek collaboration, released on September 13, 2023. This iconic footwear got a fairytale twist, boasting details inspired by our favorite ogre.




Coming in a swamp-inspired color scheme, this clog captures the essence of Shrek, merging greens and browns harmoniously. But what truly sets it apart? The toe box showcases the unmistakable Shrek nose and ear details, injecting a playful vibe and bringing out the magic of the animated classic.




What's really cool about this Crocs x Shrek design is the signature comfort of the Classic Clog combined with the enchanting allure of DreamWorks. Whether you're headed on an adventure around town or Far Far Away, these are the perfect fit. The Crocs Classic Clog DreamWorks Shrek collab dropped on September 13, 2023, and was initially priced at a magical $60.",125,Lime Punch,https://images.stockx.com/360/Crocs-Classic-Clog-DreamWorks-Shrek/Images/Crocs-Classic-Clog-DreamWorks-Shrek/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1694716001&h=384&q=60,Crocs
1720555424-29,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,"Timberland 6"" Boot Black Nubuck PremiumLowest AskCA$137",https://stockx.com/timberland-6-black-nubuck,"Timberland 6"" Boot Black Nubuck Premium","The Timberland 6-Inch Black Nubuck features a black Nubuck leather construction which comes from top-grain calfskin or cowhide. The leather is layered on the collar to create comfort and protect the feet from outside elements. Timberland also includes anti-fatigue technology that absorbs sudden impact and returns that energy to where it came from.




The Timberland 6-Inch Black Nubuck released in January of 2018 and retailed for $190.",137,Black,https://images.stockx.com/360/Timberland-6-Black-Nubuck/Images/Timberland-6-Black-Nubuck/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1637619126&h=384&q=60,Timberland
1720555427-30,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Classic Clog MaterLowest AskCA$118,https://stockx.com/crocs-classic-clog-mater,Crocs Classic Clog Mater,"The Crocs Classic Clog Mater steps into the scene with a playful spirit, mirroring the whimsy of Disney Pixar’s Cars. This funky edition is no ordinary pair; it’s a tribute to Mater, the beloved tow truck from Radiator Springs. From the front, a glossy TPU overlay showcases Mater’s grin, while the back flaunts a tow hook detail on the heel strap, making every step a statement of fun and comfort.

Mater's unique charm doesn't end there; these clogs feature an exposed engine design on the toe, a quirky touch that is bound to turn heads. The Crocs Classic Clog Mater isn’t just about looks; it’s about celebrating youthful exuberance with a comfy, snug fit that’s ready for adventure. The blend of iconic Crocs comfort with Mater's playful persona makes this pair a must-have for those looking to add a touch of whimsy to their footwear collection.

Dropped on October 17, 2023, at a retail price of $60, this pair is a ride into the playful world of Radiator Springs.",118,Slate Grey,https://images.stockx.com/360/Crocs-Classic-Clog-Mater/Images/Crocs-Classic-Clog-Mater/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1698074735&h=384&q=60,Crocs
1720555429-31,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,UGG Tasman Slipper BlackLowest AskCA$129,https://stockx.com/ugg-tasman-slipper-black,UGG Tasman Slippe rBlack,"The UGG Tasman Slipper Black can be worn both indoors and outdoors, functioning as either a slipper or a boot.




This Tasman Slipper model is made from soft black suede and has an embroidered with Tasman braiding circling the cuff. The lining is made from sheepskin and upcycled wool. The cushioned insole is made from UGG pure upcycled wool. The outsole, with traction fashioned in a starburst pattern, is made from black Treadlite technology. This version is monochromatic and the dominant hue is black. 




The UGG Tasman Slipper Black was first released at a price of $100 retail on November 1st, 2021.",129,Black,https://images.stockx.com/360/UGG-Tasman-Slipper-Black/Images/UGG-Tasman-Slipper-Black/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1672388648&h=384&q=60,UGG
1720555431-32,https://stockx.com/sneakers/most-popular,Shoes,https://stockx.com/shoes,Crocs Pollex Clog by Salehe Bembury NiagaraLowest AskCA$96,https://stockx.com/crocs-pollex-clog-by-salehe-bembury-niagara,Crocs Pollex Clogby Salehe Bembury Niagara,"The Crocs Pollex Clog by Salehe Bembury Niagara clog features a unique collaboration between Crocs and renowned footwear designer Salehe Bembury. The slide has a unique silhouette that is composed of three of Salehe Bembury’s signature fingerprints combined, available in the Niagara colorway.


The Niagara Salehe Bembury Crocs Pollex Clog showcases a ""Niagara"" color scheme, drawing inspiration from the Serene Gray tones observed at Niagara Falls. With its distinctive concave ridges, this model offers a breathable design, enhanced by intricate cut-out details, and is completed with the addition of a side strap for added functionality. The neutral color scheme is harmoniously paired with a lightweight foam construction, while the concave ridges serve as a practical water siphoning system. The adjustable heel strap proudly showcases dual branding from both Crocs and Salehe Bembury, featuring embossed logos for a distinctive touch.


What our experts love about Crocs Pollex Clog by Salehe Bembury Niagara is its unique design. This collaboration with Salehe Bembury combines elements inspired by nature with innovative design details to create a unique clog that’s not only visually striking, but also comfortable and practical. The clog debuted for $85 on July 20th, 2023.",96,Niagara,https://images.stockx.com/360/Crocs-Pollex-Clog-by-Salehe-Bembury-Niagara/Images/Crocs-Pollex-Clog-by-Salehe-Bembury-Niagara/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1690554260&h=384&q=60,Crocs
1720555181-1,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,adidas Gazelle Bold Almost Blue Yellow (Women's)Lowest AskCA$166,https://stockx.com/adidas-gazelle-bold-almost-blue-yellow-womens,adidas Gazelle Bold Almost Blue Yellow ,NA,166,NA,https://images.stockx.com/360/adidas-Gazelle-Bold-Almost-Blue-Yellow-Womens/Images/adidas-Gazelle-Bold-Almost-Blue-Yellow-Womens/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1718187220&h=384&q=60,adidas
1720555183-2,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,adidas Campus 00s Crystal White Core Black (Women's)Lowest AskCA$85,https://stockx.com/adidas-campus-00s-crystal-white-core-black,adidas Campus 00s Crystal White Core Black,"The adidas Campus 00s in Crystal White Core Black (Women) is a chunky sneaker with a design inspired by retro skate culture. Combining elements of skate culture with modern technology and design, this sneaker aims to evoke nostalgia in skaters who long for the glory days.
​
​This sneaker for women keeps the classic look of the adidas Campus but adds a modern twist. The shoe is made of brushed leather in a white colorway, with off-white detailing and black accents. You can find the black accents on the heel and adorning the classic adidas 3-Stripes on the side of the shoe. The word ""CAMPUS"" appears in black next to the stripes. Black branding is also present on the tongue.
​
​Our StockX experts think this shoe stands out because of its simple and nostalgic look. This iteration of the original adidas Campus designed in the 1970s provides the chunky look in a classic colorway that wearers can pair with any outfit. The adidas Campus 00s in Crystal White Core Black for women was released on March 6th, 2023, at a retail price of $110.",85,Crystal White/Core Black/Off White,https://images.stockx.com/360/adidas-Campus-00s-Crystal-White-Core-Black/Images/adidas-Campus-00s-Crystal-White-Core-Black/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1690385196&h=384&q=60,adidas
1720555186-3,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,adidas Handball Spezial Collegiate Green Semi Green Spark (Women's)Lowest AskCA$140,https://stockx.com/adidas-handball-spezial-collegiate-green-semi-green-spark-womens,adidas Handball Spezial Collegiate Green Semi Green Spark,"The adidas Handball Spezial Collegiate Green Semi Green Spark (Women's) is a retro sneaker that finds inspiration in the original sneaker from the 1970s.




Although the original shoe was designed for playing handball on indoor courts, this version does not have a specific sports designation. However, the rubber outsole provides traction on a variety of surfaces and the front lacing system ensures a secure fit. The upper is made from soft suede in Collegiate Green with tonal overlays crafted from the same material. The serrated 3-Stripes on the side panel, the retro-inspired tongue logo tag, the collar, and the laces all come in Semi-Green.




A feature our StockX experts like is the branding details. Although you cannot find adidas branding on the heel counter, ‘SPEZIAL’ and a small trefoil are printed along the serrated 3-Stripes logo in metallic gold. The women’s size adidas Handball Spezial Collegiate Green Semi Green Spark (Women's) was released on November 27th, 2023, and retailed at $110.",140,Collegiate Green/Semi Green Spark/Gum,https://images.stockx.com/360/adidas-Handball-Spezial-Collegiate-Green-Semi-Green-Spark-Womens/Images/adidas-Handball-Spezial-Collegiate-Green-Semi-Green-Spark-Womens/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1704727593&h=384&q=60,adidas
1720555188-4,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,Jordan 4 Retro Frozen Moments (Women's)Lowest AskCA$372,https://stockx.com/air-jordan-4-retro-frozen-moments-womens,Jordan 4 Retro Frozen Moments ,"The Jordan 4 Retro Frozen Moments made its debut on August 26, 2023. Cementing itself as a must-have, this iteration of the Jordan legacy showcased a balanced new design palette.




Crafted with precision, the sneaker flashes a blend of light iron ore, sail-neutral grey, black, and metallic silver, bringing a balanced and understated aesthetic to the iconic Jordan 4 silhouette. The defining feature is its meticulous craftsmanship and the fusion of these nuanced colors with suede and leather overlays on the upper. The iconic wings on the side panel boast a flashy metallic silver hue that make the sneaker pop.




With a lineage known for excellence and style, the Jordan 4 Retro Frozen Moments dropped at a retail price of $210.",372,Light Iron Ore/Sail-Neutral Grey-Black-Metallic Silver,https://images.stockx.com/360/Air-Jordan-4-Retro-Frozen-Moments-Womens/Images/Air-Jordan-4-Retro-Frozen-Moments-Womens/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1692624367&h=384&q=60,Air Jordan
1720555190-5,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,adidas Handball Spezial Aluminum Core Black (Women's)Lowest AskCA$143,https://stockx.com/adidas-handball-spezial-aluminum-core-black-womens,adidas Handball Spezial Aluminum Core Black,"The adidas Handball Spezial in Aluminum Core Black W (women’s) is an iteration of the original shoe that became popular with handball players in the late 1970s. As the latest colorway added to the collection, this shoe is rooted in history but features technological upgrades for comfort.




This women’s adidas Handball Spezial features a classic and simple design with the ultimate levels of comfort. The flexible rubber outsole provides bounce and energy return, while the soft suede upper and tongue provide soft comfort. Branding details include the classic 3-Stripes in black leather on the midsoles and the adidas name on the tongue. This simple design also features black leather on the heel. 




At Stock X, we think the standout feature of this shoe is the classic and simple colorway. The combination of black, Cloud White, and Aluminum color patterns ensures that this shoe goes with any outfit, whether it's sportswear or your daily street style. The adidas Handball Spezial in Aluminum Core Black for women was released on July 19th, 2023, for a retail price of $110.",143,Aluminum/Core Black/Cloud White,https://images.stockx.com/360/adidas-Handball-Spezial-Aluminum-Core-Black-Womens/Images/adidas-Handball-Spezial-Aluminum-Core-Black-Womens/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1692285560&h=384&q=60,adidas
1720555193-6,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,adidas Handball Spezial Earth Strata Gum (Women's)Lowest AskCA$140,https://stockx.com/adidas-handball-spezial-earth-strata-gum-womens,adidas Handball Spezial Earth Strata Gum ,"The adidas Handball Spezial Earth Strata Gum (Women's) upgrades the Handball Spezial silhouette with a neutral colorway of Earth Strata and Off White.




The upper construction boasts supple suede in Earth Strada and a tonal T-shaped toebox in the same material. Both the 3-Stripes logo and the panels that form the lace cage feature serrated edges. While Earth Strata is the dominant tone, Off White can be found on the 3-Stripes logo, the heel tab, the laces, and the tongue’s logo tag. This logo tag has a vintage-inspired design that finds inspiration in adidas’ retro handball catalog. Other branding details include ‘SPEZIAL’ printed along the 3-Stripes logo in metallic lettering and ‘adidas’ embossed into the outsole.




Our experts at StockX like the inclusion of standard-colored gum on the rubber outsole instead of light or medium gum. It gives the sneaker a vintage appearance. The women’s size adidas Handball Spezial Earth Strata Gum (Women's) was released on November 10th, 2023, and sold for $110.",140,Earth Strata/Off White/Gum,https://images.stockx.com/360/adidas-Handball-Spezial-Earth-Strata-Gum-Womens/Images/adidas-Handball-Spezial-Earth-Strata-Gum-Womens/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1710433294&h=384&q=60,adidas
1720555195-7,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,Jordan 4 Retro Off-White Sail (Women's)Lowest AskCA$982,https://stockx.com/air-jordan-4-retro-off-white-sail-w,Jordan 4 RetroOff-White Sail,"Jordan Brand and Virgil Abloh teamed up once again to release the third silhouette in their collaborative history with the women's Jordan 4 Retro Off-White Sail (W), now available on StockX. After teasing the release of the Off-White 4 with samples in his MCA exhibit and presenting them in his Off-White FW2020 Women’s Show, Virgil Abloh finally delivered what might be the most anticipated release of 2020.

The Air Jordan 4 Sail features full-grain leather uppers with hits of mesh and translucent materials on the toebox and heel of the shoe. From there, hits of light blue on the tongue’s Jumpman and the outsole’s Nike Swoosh provide contrast to the sail colored sneaker. These women's sneakers released in July of 2020 and retailed for $200 USD.",982,Sail/Muslin-White-Black,https://images.stockx.com/360/Air-Jordan-4-Retro-Off-White-Sail-W/Images/Air-Jordan-4-Retro-Off-White-Sail-W/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1634934807&h=384&q=60,Air Jordan
1720555198-8,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,Nike P-6000 Summit White Pure Platinum (Women's)Lowest AskCA$110,https://stockx.com/nike-p-6000-summit-white-pure-platinum-womens,Nike P-6000Summit,"The Nike P-6000 Summit White Pure Platinum (Women's) is a performance running sneaker, featuring a Summit White base with Pure Platinum, Wolf Gray, and Metallic Summit White details.




This shoe’s technical running silhouette finds inspiration in running sneakers from the 2000s, such as the Pegasus 25. For example, the white upper serves as a background for a collection of overlays that form sporty lines in Pure Platinum and Wolf Gray. Carved-out designs on the midsole mimic these lines and speak to the sneaker’s 2000s roots. While the upper is made of breathable mesh, the overlays come in leather and synthetic leather. The sneaker boasts a soft foam midsole, a supportive insole, and a durable rubber outsole.




Our experts at StockX like the light padding around the tongue and heel that contributes to the sneaker’s Y2K aesthetic. The women’s size Nike P-6000 Summit White Pure Platinum (Women's) was released on December 19th, 2023, and retailed at $120.",110,Metallic Summit White/Pure Platinum/Wolf Grey/White,https://images.stockx.com/360/Nike-P-6000-Summit-White-Pure-Platinum-Womens/Images/Nike-P-6000-Summit-White-Pure-Platinum-Womens/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1706541722&h=384&q=60,Nike
1720555200-9,https://stockx.com/sneakers/most-popular,Women,https://stockx.com/browse/women,Nike Dunk Low Give Her Flowers (Women's)Lowest AskCA$131,https://stockx.com/nike-dunk-low-give-her-flowers-womens,Nike Dunk LowGive Her Flowers,"The Nike Dunk Low Give Her Flowers (Women's) paints the Nike Dunk Low in an off-white Sail with flower details.




This off-white sneaker was first announced as one of Nike’s Valentine’s Day 2024 products and features romantic elements. For example, ‘you deserve flowers’ is printed across the Medium Soft Pink insole in delicate cursive lettering. A gold pin with a red rose and green leaves can be found on the heel panels. The leather upper comes in Sail, while the textile overlays feature a floral pattern in the same color. Like other Dunk Low models, the signature leather Swoosh streaks across the side panels and wraps around the heel. The sneaker sits on a rubber cupsole that comes in complementary Sail.




Our StockX experts like the University Red ‘Nike’ lettering on the tongue’s logo tag. It adds a pop of color that matches the rose pin. The women’s size Nike Dunk Low Give Her Flowers (Women's) was released on March 8th, 2024, and retailed at $115.",131,Sail/University Red-Medium Soft Pink,https://images.stockx.com/360/Nike-Dunk-Low-Give-Her-Flowers-Womens/Images/Nike-Dunk-Low-Give-Her-Flowers-Womens/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1711045305&h=384&q=60,Nike
